Category,Word1,Word2,Word3,Expected,Predicted,Success,Rank,Score
gender,man,woman,king,queen,queen,1,1,0.4739200174808502
gender,man,woman,husband,wife,wife,1,1,0.7391957640647888
gender,man,woman,actor,actress,actress,1,1,0.704062819480896
gender,man,woman,father,mother,mother,1,1,0.723073422908783
gender,boy,girl,brother,sister,sister,1,1,0.7306243777275085
gender,nephew,niece,uncle,aunt,aunt,1,1,0.7128275036811829
capital-country,paris,france,rome,italy,italy,1,1,0.6936210989952087
capital-country,berlin,germany,tokyo,japan,japan,1,1,0.7438745498657227
capital-country,london,england,madrid,spain,bernabeu,0,44,0.596187949180603
capital-country,beijing,china,seoul,korea,korea,1,1,0.7524753212928772
capital-country,ottawa,canada,canberra,australia,australia,1,1,0.6454055309295654
comparative-superlative,good,best,bad,worst,worst,1,1,0.4851016402244568
comparative-superlative,big,biggest,small,smallest,tiny,0,-1,0.47735777497291565
comparative-superlative,fast,fastest,slow,slowest,sluggish,0,2,0.41023877263069153
comparative-superlative,happy,happiest,sad,saddest,uncared,0,-1,0.5274648666381836
comparative-superlative,hard,hardest,easy,easiest,tipdrop,0,-1,0.6336995363235474
comparative-superlative,long,longest,short,shortest,frankenweenie,0,-1,0.42773035168647766
past-tense,walk,walked,run,ran,gamewinning,0,-1,0.5946505069732666
past-tense,eat,ate,drink,drank,superend,0,-1,0.41027140617370605
past-tense,write,wrote,speak,spoke,anonmyity,0,-1,0.5407134294509888
past-tense,play,played,grow,grew,growing,0,-1,0.483151376247406
plural,car,cars,child,children,children,1,1,0.5504205822944641
plural,dog,dogs,mouse,mice,ampk,0,-1,0.46469101309776306
plural,house,houses,person,people,people,1,1,0.43620216846466064
plural,bird,birds,tooth,teeth,remineralization,0,2,0.44968050718307495
plural,book,books,goose,geese,geese,1,1,0.5084244012832642
opposite,hot,cold,light,dark,striplight,0,20,0.4187723696231842
opposite,open,closed,young,old,teenage,0,-1,0.4481385350227356
opposite,happy,sad,rich,poor,wealthy,0,-1,0.41659510135650635
opposite,clean,dirty,fast,slow,slow,1,1,0.44790002703666687
opposite,east,west,north,south,south,1,1,0.5425868034362793
profession-place,doctor,hospital,teacher,school,classroom,0,2,0.5749580264091492
profession-place,chef,restaurant,lawyer,court,attorney,0,22,0.5971586108207703
profession-place,farmer,farm,programmer,office,phyzios,0,-1,0.48126357793807983
profession-place,scientist,laboratory,pilot,airplane,canadair,0,23,0.5321525931358337
profession-place,librarian,library,actor,theater,whatham,0,-1,0.5075699090957642
profession-place,baker,bakery,firefighter,station,fireman,0,-1,0.48508626222610474
